driver_id,customer_id,compatibility,explicit_rating,trip_type,completed
DRV0050,CST0134,0.813,4,wedding,1
DRV0012,CST0205,0.708,4,long_distance,1
DRV0066,CST0076,0.642,4,nightlife,0
DRV0043,CST0484,0.541,4,long_distance,1
DRV0183,CST0269,0.583,3,event,1
DRV0116,CST0423,0.631,4,wedding,1
DRV0057,CST0365,0.695,4,airport,1
DRV0068,CST0147,0.968,5,wedding,1
DRV0033,CST0220,0.616,3,airport,1
DRV0072,CST0372,0.625,4,wedding,1
DRV0046,CST0209,0.716,4,airport,1
DRV0067,CST0120,0.636,4,long_distance,1
DRV0063,CST0189,0.841,4,long_distance,1
DRV0117,CST0043,0.725,4,nightlife,1
DRV0082,CST0498,0.592,4,wedding,1
DRV0054,CST0365,0.619,4,event,1
DRV0188,CST0305,0.726,4,errand,1
DRV0142,CST0030,0.438,3,nightlife,1
DRV0060,CST0241,0.599,3,errand,0
DRV0171,CST0495,0.861,4,long_distance,1
DRV0011,CST0002,0.943,4,errand,1
DRV0097,CST0154,0.529,3,event,1
DRV0033,CST0495,0.796,4,long_distance,1
DRV0045,CST0133,0.847,4,airport,1
DRV0086,CST0449,0.658,4,event,1
DRV0081,CST0363,0.753,4,long_distance,1
DRV0066,CST0059,0.88,5,errand,1
DRV0032,CST0255,0.874,5,errand,1
DRV0110,CST0144,0.636,3,errand,1
DRV0194,CST0474,0.821,4,errand,1
DRV0111,CST0457,0.947,5,airport,1
DRV0125,CST0391,0.453,3,airport,1
DRV0168,CST0325,0.916,5,event,1
DRV0038,CST0027,0.613,4,airport,1
DRV0120,CST0133,0.578,3,airport,1
DRV0111,CST0059,0.85,5,event,1
DRV0091,CST0363,0.544,3,long_distance,1
DRV0126,CST0057,0.533,4,wedding,1
DRV0031,CST0178,0.605,4,nightlife,1
DRV0072,CST0092,0.596,4,airport,1
DRV0069,CST0288,0.811,4,wedding,1
DRV0149,CST0497,0.689,4,nightlife,1
DRV0146,CST0092,0.914,4,event,1
DRV0063,CST0393,0.799,5,event,1
DRV0084,CST0013,0.79,4,errand,1
DRV0174,CST0062,0.597,4,event,1
DRV0027,CST0428,0.663,4,errand,1
DRV0020,CST0235,0.786,5,wedding,1
DRV0116,CST0321,0.641,4,errand,1
DRV0001,CST0168,0.9,5,nightlife,1
DRV0115,CST0166,0.708,4,wedding,0
DRV0145,CST0066,0.722,4,airport,1
DRV0164,CST0144,0.73,4,errand,1
DRV0190,CST0036,0.695,4,long_distance,0
DRV0097,CST0047,0.605,3,event,1
DRV0061,CST0494,1.0,5,event,1
DRV0053,CST0083,0.853,4,event,1
DRV0072,CST0331,0.822,4,wedding,1
DRV0076,CST0251,0.86,4,event,1
DRV0079,CST0462,0.758,4,wedding,1
DRV0091,CST0340,0.706,4,nightlife,1
DRV0131,CST0102,0.801,4,event,1
DRV0099,CST0243,0.56,3,errand,1
DRV0108,CST0046,0.756,4,event,1
DRV0157,CST0095,0.802,4,event,1
DRV0023,CST0020,0.633,4,long_distance,1
DRV0118,CST0346,0.717,4,airport,1
DRV0182,CST0079,0.966,5,event,1
DRV0165,CST0268,0.63,4,nightlife,1
DRV0111,CST0040,0.598,3,event,1
DRV0032,CST0350,0.749,4,errand,1
DRV0133,CST0218,0.503,3,errand,1
DRV0141,CST0039,0.939,5,nightlife,1
DRV0130,CST0217,0.625,4,event,1
DRV0169,CST0368,0.918,5,long_distance,1
DRV0090,CST0130,0.881,4,long_distance,1
DRV0128,CST0008,0.785,4,nightlife,1
DRV0118,CST0091,0.592,3,airport,1
DRV0011,CST0042,1.0,5,event,1
DRV0076,CST0160,1.0,5,long_distance,1
DRV0193,CST0343,0.947,5,event,1
DRV0067,CST0174,0.77,4,airport,1
DRV0020,CST0382,0.858,4,long_distance,1
DRV0172,CST0054,0.645,4,event,1
DRV0001,CST0202,0.667,4,nightlife,1
DRV0167,CST0244,1.0,5,event,1
DRV0168,CST0494,1.0,5,wedding,1
DRV0124,CST0155,0.553,3,long_distance,1
DRV0157,CST0184,0.521,3,wedding,1
DRV0176,CST0345,0.76,4,event,1
DRV0022,CST0064,0.955,4,airport,1
DRV0028,CST0417,0.935,4,nightlife,1
DRV0048,CST0439,0.582,3,nightlife,1
