trip_id,datetime,date,month,hour,neighborhood,car_type,trip_type,distance_km,fare_usd,driver_rating,completed
T00083,2024-06-19 10:39,2024-06-19,6,10,Little Havana,SUV,wedding,31.7,45.05,4,1
T00084,2024-03-17 16:19,2024-03-17,3,16,Midtown,Luxury,errand,21.2,38.31,4,1
T00085,2024-03-16 17:08,2024-03-16,3,17,Coral Gables,SUV,event,11.8,34.73,5,1
T00086,2024-04-07 21:47,2024-04-07,4,21,Wynwood,SUV,long_distance,9.6,38.96,5,1
T00087,2024-04-13 17:53,2024-04-13,4,17,South Beach,Sedan,errand,3.3,28.32,5,1
T00088,2024-04-20 18:38,2024-04-20,4,18,Little Havana,Sedan,event,3.8,46.82,4,1
T00089,2024-06-21 06:32,2024-06-21,6,6,Downtown,Sedan,wedding,2.0,29.55,5,1
T00090,2024-01-22 09:32,2024-01-22,1,9,Doral,SUV,errand,10.4,36.39,5,1
T00091,2024-03-01 21:19,2024-03-01,3,21,Coral Gables,Luxury,airport,23.1,45.43,4,1
T00092,2024-01-12 07:30,2024-01-12,1,7,Doral,SUV,nightlife,12.4,42.48,5,1
T00093,2024-06-10 18:12,2024-06-10,6,18,Midtown,Sedan,event,5.2,60.54,5,1
T00094,2024-02-07 20:44,2024-02-07,2,20,South Beach,SUV,nightlife,4.0,49.2,5,1
T00095,2024-02-26 05:51,2024-02-26,2,5,Aventura,SUV,event,13.9,36.76,5,1
T00096,2024-03-04 03:29,2024-03-04,3,3,Wynwood,Sedan,event,11.3,30.99,4,1
T00097,2024-05-23 19:20,2024-05-23,5,19,Downtown,SUV,long_distance,23.5,15.57,4,1
T00098,2024-05-09 13:53,2024-05-09,5,13,Aventura,Sedan,event,4.4,18.72,4,1
T00099,2024-05-01 14:16,2024-05-01,5,14,Coral Gables,SUV,wedding,22.5,40.05,5,1
T00100,2024-05-13 15:40,2024-05-13,5,15,Coral Gables,SUV,errand,10.0,35.49,4,1
T00101,2024-03-14 07:17,2024-03-14,3,7,Little Havana,Sedan,errand,2.1,34.09,5,1
T00102,2024-01-21 04:09,2024-01-21,1,4,Coral Gables,Minivan,event,15.0,27.53,4,1
T00103,2024-02-24 02:26,2024-02-24,2,2,Midtown,Sedan,errand,4.5,43.96,5,1
T00104,2024-04-16 01:13,2024-04-16,4,1,Midtown,SUV,event,5.0,20.08,5,1
T00105,2024-05-29 22:01,2024-05-29,5,22,Doral,Luxury,event,4.4,34.4,4,1
T00106,2024-03-31 09:48,2024-03-31,3,9,Midtown,SUV,event,24.2,23.64,5,1
T00107,2024-05-19 19:57,2024-05-19,5,19,Coral Gables,SUV,event,3.2,14.32,5,1
T00108,2024-04-21 15:01,2024-04-21,4,15,Midtown,Luxury,errand,17.2,50.16,4,1
T00109,2024-04-13 23:10,2024-04-13,4,23,Downtown,SUV,airport,2.9,59.09,4,0
T00110,2024-05-16 00:58,2024-05-16,5,0,Midtown,SUV,long_distance,3.6,46.42,5,1
T00111,2024-01-07 02:41,2024-01-07,1,2,Midtown,Sedan,airport,2.2,60.94,4,1
T00112,2024-02-16 01:16,2024-02-16,2,1,Midtown,Sedan,errand,2.4,45.1,5,1
T00113,2024-03-24 10:48,2024-03-24,3,10,Midtown,SUV,errand,3.8,21.67,4,1
T00114,2024-04-17 08:53,2024-04-17,4,8,Brickell,Sedan,event,3.5,32.88,5,1
T00115,2024-05-18 01:22,2024-05-18,5,1,Coral Gables,SUV,wedding,5.8,45.34,5,1
T00116,2024-06-15 01:48,2024-06-15,6,1,South Beach,SUV,airport,11.2,12.03,5,1
T00117,2024-01-06 19:09,2024-01-06,1,19,Coral Gables,SUV,airport,17.9,24.43,5,1
T00118,2024-01-30 18:13,2024-01-30,1,18,Downtown,Sedan,wedding,8.9,66.63,4,1
T00119,2024-04-04 05:38,2024-04-04,4,5,Doral,Sedan,wedding,10.9,30.53,4,1
T00120,2024-02-11 09:06,2024-02-11,2,9,Doral,Minivan,nightlife,3.3,24.59,3,1
T00121,2024-05-27 21:58,2024-05-27,5,21,Midtown,Sedan,event,14.1,43.11,4,0
T00122,2024-02-20 02:37,2024-02-20,2,2,Coral Gables,SUV,nightlife,9.4,30.82,4,1
T00123,2024-03-18 21:38,2024-03-18,3,21,Brickell,Sedan,long_distance,11.8,50.06,5,1
T00124,2024-03-29 17:27,2024-03-29,3,17,Little Havana,Luxury,nightlife,16.3,41.58,4,1
T00125,2024-03-28 00:54,2024-03-28,3,0,Midtown,Luxury,event,6.3,37.76,5,1
T00126,2024-04-02 20:57,2024-04-02,4,20,Downtown,Minivan,wedding,6.5,36.43,4,1
T00127,2024-02-15 23:33,2024-02-15,2,23,Coconut Grove,Luxury,long_distance,20.1,31.62,4,1
T00128,2024-05-17 15:29,2024-05-17,5,15,Midtown,SUV,wedding,29.1,51.29,5,1
T00129,2024-03-23 07:53,2024-03-23,3,7,Brickell,Sedan,errand,5.3,33.28,4,1
T00130,2024-03-03 14:36,2024-03-03,3,14,Doral,Convertible,wedding,8.1,56.15,4,1
T00131,2024-01-08 15:54,2024-01-08,1,15,Little Havana,Sedan,airport,5.2,31.74,4,1
T00132,2024-03-31 08:21,2024-03-31,3,8,Coconut Grove,SUV,long_distance,11.8,32.59,5,1
T00133,2024-03-11 17:00,2024-03-11,3,17,Aventura,Sedan,airport,3.5,51.62,4,1
T00134,2024-04-14 15:35,2024-04-14,4,15,Coral Gables,Sedan,wedding,14.6,65.32,5,1
T00135,2024-05-05 14:50,2024-05-05,5,14,South Beach,Sedan,nightlife,13.1,58.16,5,1
T00136,2024-04-13 22:15,2024-04-13,4,22,Coconut Grove,Luxury,wedding,14.5,44.98,4,1
T00137,2024-05-01 17:33,2024-05-01,5,17,Little Havana,SUV,event,9.3,40.69,4,0
T00138,2024-05-20 10:22,2024-05-20,5,10,Downtown,Sedan,errand,19.2,46.35,5,1
T00139,2024-02-29 03:46,2024-02-29,2,3,Coral Gables,Luxury,errand,8.8,42.62,5,1
T00140,2024-05-17 22:11,2024-05-17,5,22,Coral Gables,SUV,airport,9.5,43.73,4,1
T00141,2024-03-11 23:37,2024-03-11,3,23,Aventura,Luxury,long_distance,4.0,25.39,4,1
T00142,2024-01-26 06:18,2024-01-26,1,6,Coral Gables,Sedan,errand,3.4,27.9,5,1
T00143,2024-01-04 22:34,2024-01-04,1,22,Wynwood,SUV,errand,3.2,38.12,5,1
T00144,2024-01-14 17:18,2024-01-14,1,17,Wynwood,Sedan,wedding,15.3,34.25,5,1
T00145,2024-05-05 03:55,2024-05-05,5,3,South Beach,Sedan,long_distance,10.9,47.16,5,1
T00146,2024-05-02 14:21,2024-05-02,5,14,Wynwood,SUV,nightlife,4.6,39.37,4,1
T00147,2024-05-02 03:52,2024-05-02,5,3,Brickell,SUV,event,3.5,32.69,4,1
T00148,2024-05-27 20:43,2024-05-27,5,20,South Beach,SUV,airport,15.0,47.41,5,1
T00149,2024-05-24 09:05,2024-05-24,5,9,Coral Gables,Sedan,nightlife,2.2,49.11,4,1
T00150,2024-04-16 19:38,2024-04-16,4,19,Doral,SUV,airport,1.8,57.22,4,1
T00151,2024-04-07 14:58,2024-04-07,4,14,Downtown,SUV,errand,1.8,45.9,4,1
T00152,2024-04-19 09:36,2024-04-19,4,9,Doral,Minivan,nightlife,19.0,53.98,5,1
T00153,2024-01-26 06:40,2024-01-26,1,6,Coral Gables,Convertible,errand,15.5,36.49,4,1
T00154,2024-02-10 07:11,2024-02-10,2,7,Aventura,SUV,nightlife,2.1,47.74,5,1
T00155,2024-04-14 14:44,2024-04-14,4,14,Doral,Luxury,event,17.1,30.26,4,1
T00156,2024-02-29 09:45,2024-02-29,2,9,Coconut Grove,Sedan,wedding,1.7,33.95,5,1
T00157,2024-01-19 21:14,2024-01-19,1,21,Coconut Grove,SUV,wedding,4.5,32.83,4,1
T00158,2024-02-20 13:07,2024-02-20,2,13,Aventura,Sedan,airport,13.1,48.3,5,1
T00159,2024-03-09 04:04,2024-03-09,3,4,South Beach,Sedan,airport,16.0,47.56,5,1
T00160,2024-06-01 23:52,2024-06-01,6,23,Doral,SUV,errand,17.5,64.24,5,1
T00161,2024-04-29 22:19,2024-04-29,4,22,Midtown,Convertible,errand,12.8,61.06,5,1
T00162,2024-05-06 14:05,2024-05-06,5,14,Doral,Sedan,nightlife,3.6,34.09,5,1
T00163,2024-03-23 19:16,2024-03-23,3,19,South Beach,Minivan,nightlife,4.8,41.91,4,1
T00164,2024-06-21 18:37,2024-06-21,6,18,South Beach,Convertible,wedding,33.3,41.69,5,1
T00165,2024-05-27 01:48,2024-05-27,5,1,Wynwood,Luxury,event,8.7,46.59,4,1
T00166,2024-04-23 08:11,2024-04-23,4,8,Doral,SUV,event,10.6,32.16,5,1
T00167,2024-05-05 02:30,2024-05-05,5,2,Little Havana,Sedan,event,7.1,38.08,5,1
T00168,2024-06-20 03:54,2024-06-20,6,3,Wynwood,SUV,errand,4.1,52.93,5,1
T00169,2024-05-06 09:42,2024-05-06,5,9,Midtown,SUV,long_distance,3.1,27.74,4,1
T00170,2024-01-23 10:16,2024-01-23,1,10,Little Havana,SUV,nightlife,16.0,61.84,5,0
T00171,2024-04-13 16:52,2024-04-13,4,16,South Beach,SUV,wedding,16.1,55.97,4,1
T00172,2024-04-28 13:03,2024-04-28,4,13,Coral Gables,SUV,long_distance,2.8,76.74,4,1
T00173,2024-05-07 20:28,2024-05-07,5,20,South Beach,Minivan,airport,8.5,46.47,4,1
T00174,2024-02-03 09:28,2024-02-03,2,9,Downtown,Sedan,nightlife,1.8,53.35,4,1
T00175,2024-06-10 19:51,2024-06-10,6,19,Coral Gables,SUV,wedding,18.5,38.21,5,1
T00176,2024-05-21 00:35,2024-05-21,5,0,Midtown,Sedan,nightlife,17.4,49.59,4,1
T00177,2024-01-30 14:07,2024-01-30,1,14,Wynwood,Luxury,event,4.2,42.54,5,0
T00178,2024-03-15 16:45,2024-03-15,3,16,Coconut Grove,SUV,event,16.5,40.9,4,1
T00179,2024-04-30 07:29,2024-04-30,4,7,Aventura,Sedan,airport,31.1,34.18,5,1
T00180,2024-06-02 16:47,2024-06-02,6,16,Wynwood,Minivan,nightlife,2.2,43.7,4,1
T00181,2024-04-16 10:59,2024-04-16,4,10,Aventura,Sedan,errand,3.6,37.87,4,1
T00182,2024-03-13 23:19,2024-03-13,3,23,Doral,Sedan,long_distance,3.0,37.23,4,0
T00183,2024-05-05 04:28,2024-05-05,5,4,Aventura,Luxury,event,4.7,34.45,4,1
T00184,2024-05-21 17:24,2024-05-21,5,17,Downtown,Sedan,errand,3.9,30.87,5,1
T00185,2024-06-27 07:36,2024-06-27,6,7,Midtown,Sedan,airport,3.4,26.34,4,1
T00186,2024-04-15 01:20,2024-04-15,4,1,Downtown,Sedan,wedding,17.5,43.98,4,1
T00187,2024-04-07 12:42,2024-04-07,4,12,Wynwood,SUV,event,14.5,38.2,5,0
T00188,2024-02-02 16:37,2024-02-02,2,16,Little Havana,SUV,nightlife,2.7,27.24,4,1
T00189,2024-04-22 03:33,2024-04-22,4,3,Downtown,SUV,nightlife,2.2,49.38,4,1
T00190,2024-04-14 20:09,2024-04-14,4,20,Brickell,Luxury,event,2.0,35.27,4,1
T00191,2024-03-08 10:39,2024-03-08,3,10,Midtown,Luxury,wedding,8.3,12.14,5,1
T00192,2024-03-25 21:54,2024-03-25,3,21,Aventura,Minivan,event,4.5,48.18,5,0
T00193,2024-06-09 22:56,2024-06-09,6,22,Downtown,Convertible,long_distance,19.1,41.64,4,1
T00194,2024-01-18 07:40,2024-01-18,1,7,Coconut Grove,SUV,airport,12.3,34.01,3,1
T00195,2024-04-21 03:48,2024-04-21,4,3,Brickell,Luxury,event,5.1,22.37,4,1
T00196,2024-03-17 00:02,2024-03-17,3,0,Little Havana,Sedan,nightlife,6.3,52.65,4,1
T00197,2024-04-05 13:09,2024-04-05,4,13,Coral Gables,Sedan,long_distance,25.7,44.14,5,1
T00198,2024-06-23 05:10,2024-06-23,6,5,Wynwood,SUV,nightlife,6.9,24.94,4,1
T00199,2024-04-07 19:43,2024-04-07,4,19,Coral Gables,SUV,event,5.2,47.93,4,1
T00200,2024-02-06 07:29,2024-02-06,2,7,Coconut Grove,SUV,event,3.1,44.83,4,1
T00201,2024-01-03 14:57,2024-01-03,1,14,Coconut Grove,Sedan,wedding,15.5,31.42,5,1
T00202,2024-01-19 14:22,2024-01-19,1,14,Doral,Convertible,errand,8.3,37.71,4,1
T00203,2024-04-18 22:16,2024-04-18,4,22,Downtown,Luxury,errand,5.2,28.05,5,1
T00204,2024-04-08 15:06,2024-04-08,4,15,Coral Gables,Luxury,event,14.2,29.86,5,1
T00205,2024-05-27 09:44,2024-05-27,5,9,Coconut Grove,Sedan,nightlife,3.5,28.27,4,0
T00206,2024-06-17 12:17,2024-06-17,6,12,South Beach,Sedan,long_distance,1.5,46.47,5,1
T00207,2024-01-13 19:47,2024-01-13,1,19,Downtown,SUV,errand,12.6,44.5,4,1
T00208,2024-02-28 19:51,2024-02-28,2,19,Little Havana,Sedan,airport,2.3,25.79,5,1
T00209,2024-06-07 08:43,2024-06-07,6,8,Wynwood,Sedan,wedding,4.3,39.67,4,1
T00210,2024-06-09 20:02,2024-06-09,6,20,Coconut Grove,Minivan,event,6.5,31.21,5,1
T00211,2024-04-03 23:08,2024-04-03,4,23,Brickell,Sedan,errand,6.8,37.53,5,1
T00212,2024-04-16 05:12,2024-04-16,4,5,Wynwood,Convertible,long_distance,13.2,23.19,5,1
T00213,2024-04-03 16:32,2024-04-03,4,16,Coconut Grove,Sedan,airport,1.7,35.62,4,1
T00214,2024-05-03 09:47,2024-05-03,5,9,Little Havana,SUV,nightlife,9.1,26.68,5,1
T00215,2024-01-20 04:48,2024-01-20,1,4,Coral Gables,SUV,wedding,1.9,50.64,5,1
T00216,2024-04-11 17:23,2024-04-11,4,17,Brickell,SUV,event,16.1,33.85,4,1
T00217,2024-05-17 03:29,2024-05-17,5,3,Little Havana,Sedan,wedding,11.8,36.38,5,1
T00218,2024-03-08 18:24,2024-03-08,3,18,Little Havana,Sedan,nightlife,3.0,29.28,5,1
T00219,2024-04-30 00:39,2024-04-30,4,0,Aventura,Sedan,errand,12.6,34.15,5,1
T00220,2024-02-26 20:04,2024-02-26,2,20,Downtown,Sedan,wedding,10.6,34.65,5,1
T00221,2024-04-14 03:08,2024-04-14,4,3,South Beach,Sedan,nightlife,2.0,41.37,5,1
T00222,2024-05-06 03:06,2024-05-06,5,3,Coral Gables,Sedan,long_distance,4.9,41.65,5,1
T00223,2024-04-26 11:42,2024-04-26,4,11,Aventura,Sedan,event,9.1,42.35,4,1
T00224,2024-02-09 13:41,2024-02-09,2,13,Brickell,Luxury,event,25.0,53.76,5,1
T00225,2024-03-12 01:44,2024-03-12,3,1,Little Havana,Sedan,airport,4.1,46.4,5,1
T00226,2024-03-01 11:06,2024-03-01,3,11,Little Havana,SUV,long_distance,38.4,52.46,4,1
T00227,2024-06-14 11:03,2024-06-14,6,11,Midtown,Sedan,errand,6.2,24.65,4,1
T00228,2024-02-01 14:05,2024-02-01,2,14,Coral Gables,Luxury,wedding,23.4,24.98,4,1
T00229,2024-01-06 01:50,2024-01-06,1,1,Little Havana,Minivan,airport,2.0,26.14,4,0
T00230,2024-05-24 06:04,2024-05-24,5,6,Aventura,Convertible,airport,6.2,43.58,4,1
T00231,2024-02-29 10:49,2024-02-29,2,10,Wynwood,SUV,long_distance,10.2,40.12,5,1
T00232,2024-02-07 04:34,2024-02-07,2,4,Coconut Grove,SUV,airport,20.3,49.79,5,1
T00233,2024-01-07 04:00,2024-01-07,1,4,Little Havana,Sedan,airport,1.6,48.39,5,1
T00234,2024-01-05 05:16,2024-01-05,1,5,South Beach,SUV,airport,5.6,26.59,4,1
T00235,2024-05-14 03:47,2024-05-14,5,3,Brickell,SUV,event,4.0,47.13,4,1
T00236,2024-04-02 16:37,2024-04-02,4,16,Brickell,Sedan,event,6.0,34.09,5,1
T00237,2024-06-06 01:46,2024-06-06,6,1,Aventura,Sedan,errand,6.9,60.55,5,1
T00238,2024-01-08 01:30,2024-01-08,1,1,Midtown,SUV,event,2.9,20.5,5,1
T00239,2024-05-05 22:58,2024-05-05,5,22,Downtown,Minivan,nightlife,4.9,27.9,5,1
T00240,2024-03-23 19:09,2024-03-23,3,19,Brickell,Minivan,airport,15.3,55.02,5,1
T00241,2024-06-11 18:35,2024-06-11,6,18,Little Havana,Minivan,event,5.6,49.72,5,0
T00242,2024-05-15 09:29,2024-05-15,5,9,Aventura,Sedan,long_distance,8.4,46.08,4,1
T00243,2024-06-28 03:54,2024-06-28,6,3,Aventura,Convertible,wedding,3.4,38.83,5,1
T00244,2024-04-20 14:56,2024-04-20,4,14,Coral Gables,Luxury,event,1.8,31.85,5,1
T00245,2024-04-26 12:26,2024-04-26,4,12,Brickell,Sedan,errand,3.0,64.97,4,1
T00246,2024-06-19 08:23,2024-06-19,6,8,Wynwood,Minivan,wedding,15.2,46.99,4,1
T00247,2024-01-18 02:53,2024-01-18,1,2,Brickell,Sedan,nightlife,1.9,45.41,5,1
T00248,2024-04-05 04:35,2024-04-05,4,4,South Beach,SUV,long_distance,3.6,36.38,4,0
T00249,2024-05-23 10:42,2024-05-23,5,10,Brickell,SUV,event,5.1,47.84,5,1
T00250,2024-06-19 13:55,2024-06-19,6,13,South Beach,SUV,errand,5.0,45.2,5,1
T00251,2024-03-31 03:36,2024-03-31,3,3,Aventura,Sedan,airport,3.4,33.78,4,1
T00252,2024-05-03 07:54,2024-05-03,5,7,Brickell,SUV,errand,16.2,29.78,4,1
T00253,2024-04-04 03:48,2024-04-04,4,3,Coconut Grove,Luxury,long_distance,15.4,24.38,4,1
T00254,2024-04-19 17:49,2024-04-19,4,17,Doral,Sedan,long_distance,23.1,13.16,5,1
T00255,2024-05-22 00:38,2024-05-22,5,0,Coconut Grove,Sedan,nightlife,6.7,63.49,4,1
T00256,2024-06-28 09:58,2024-06-28,6,9,Little Havana,SUV,errand,29.9,36.25,5,1
T00257,2024-02-06 18:42,2024-02-06,2,18,Midtown,Sedan,nightlife,5.8,45.99,5,1
T00258,2024-06-11 00:05,2024-06-11,6,0,Aventura,Minivan,airport,10.2,29.12,4,1
T00259,2024-04-26 10:10,2024-04-26,4,10,Little Havana,SUV,errand,5.6,32.44,5,1
T00260,2024-05-25 19:05,2024-05-25,5,19,South Beach,SUV,airport,5.2,45.13,4,1
T00261,2024-06-07 01:43,2024-06-07,6,1,Brickell,Sedan,errand,5.8,36.53,5,1
T00262,2024-04-18 15:38,2024-04-18,4,15,Downtown,Sedan,event,5.5,55.44,4,1
T00263,2024-05-11 03:22,2024-05-11,5,3,Midtown,Luxury,nightlife,1.8,35.8,4,1
T00264,2024-06-22 18:31,2024-06-22,6,18,Aventura,Minivan,wedding,8.0,36.49,5,1
T00265,2024-02-26 12:38,2024-02-26,2,12,South Beach,Luxury,nightlife,26.9,21.08,5,1
T00266,2024-02-24 04:48,2024-02-24,2,4,Coconut Grove,Minivan,errand,21.4,36.93,5,1
