trip_id,datetime,hour,day_of_week,month,is_weekend,is_night,is_rush_hour,distance_km,pickup_neighborhood,dropoff_neighborhood,weather,weather_encoded,driver_supply_ratio,event_demand_multiplier,active_drivers,pending_requests,price_usd,demand_supply_ratio
TR00014,2023-06-11 06:41:00,6,6,6,1,0,0,22.74,Downtown,Midtown,rainy,2,0.77,1.0,61,118,67.25,1.9
TR00015,2023-11-26 14:09:00,14,6,11,1,0,0,14.68,Aventura,Aventura,rainy,2,0.84,1.0,67,38,49.08,0.56
TR00016,2023-10-27 13:57:00,13,4,10,0,0,0,15.13,Wynwood,Aventura,rainy,2,0.77,1.0,61,68,46.22,1.1
TR00017,2023-02-16 01:55:00,1,3,2,0,1,0,24.4,Wynwood,Midtown,sunny,0,0.81,1.6,64,81,99.99,1.25
TR00018,2023-02-02 12:24:00,12,3,2,0,0,0,27.76,Downtown,Aventura,sunny,0,0.5,1.0,40,37,62.66,0.9
TR00019,2023-10-11 00:43:00,0,2,10,0,1,0,1.92,Aventura,Coconut Grove,sunny,0,0.92,1.0,73,103,25.4,1.39
TR00020,2023-11-25 10:07:00,10,5,11,1,0,0,35.45,South Beach,Coconut Grove,sunny,0,0.73,1.0,58,69,86.59,1.17
TR00021,2023-04-02 16:58:00,16,6,4,1,0,0,9.53,Coconut Grove,Aventura,sunny,0,0.67,1.6,53,82,42.7,1.52
TR00022,2023-04-12 04:23:00,4,2,4,0,1,0,1.83,Aventura,Aventura,cloudy,1,0.54,1.0,43,5,14.95,0.11
TR00023,2023-11-03 10:31:00,10,4,11,0,0,0,23.58,Little Havana,Coconut Grove,sunny,0,0.88,1.6,70,35,63.61,0.49
TR00024,2023-01-30 07:56:00,7,0,1,0,0,1,15.1,Brickell,Brickell,cloudy,1,0.51,1.0,40,98,51.36,2.39
TR00025,2023-09-06 02:48:00,2,2,9,0,1,0,4.81,Wynwood,Wynwood,sunny,0,0.72,1.0,57,89,35.27,1.53
TR00026,2023-09-01 17:10:00,17,4,9,0,0,1,2.91,Doral,Midtown,rainy,2,0.85,1.0,68,32,29.3,0.46
TR00027,2023-10-04 23:44:00,23,2,10,0,1,0,9.94,Little Havana,Downtown,sunny,0,0.87,1.0,69,120,43.64,1.71
TR00028,2023-09-22 14:07:00,14,4,9,0,0,0,9.89,Brickell,Little Havana,rainy,2,0.55,1.0,44,7,40.68,0.16
TR00029,2023-10-29 17:14:00,17,6,10,1,0,1,30.4,South Beach,Coral Gables,sunny,0,0.45,1.5,36,13,116.52,0.35
TR00030,2023-01-17 10:04:00,10,1,1,0,0,0,8.38,Coconut Grove,Downtown,sunny,0,0.89,1.0,71,32,26.23,0.44
TR00031,2023-10-04 04:46:00,4,2,10,0,1,0,24.07,Downtown,Coral Gables,stormy,3,0.79,1.0,63,105,63.5,1.64
TR00032,2023-08-31 13:12:00,13,3,8,0,0,0,28.01,Brickell,Brickell,rainy,2,0.89,1.0,71,89,74.81,1.24
TR00033,2023-08-09 11:27:00,11,2,8,0,0,0,23.51,Midtown,Downtown,cloudy,1,0.55,1.0,44,115,54.0,2.56
TR00034,2023-01-28 21:41:00,21,5,1,1,0,0,2.71,Brickell,South Beach,sunny,0,0.69,1.0,55,56,21.75,1.0
TR00035,2023-06-23 03:15:00,3,4,6,0,1,0,14.76,Coral Gables,Coral Gables,rainy,2,0.63,1.0,50,73,44.37,1.43
TR00036,2023-08-18 04:27:00,4,4,8,0,1,0,14.31,Wynwood,Coconut Grove,cloudy,1,0.73,1.0,58,64,31.41,1.08
TR00037,2023-05-08 02:28:00,2,0,5,0,1,0,8.41,Aventura,Brickell,sunny,0,0.94,1.0,75,11,40.88,0.14
TR00038,2023-11-30 17:53:00,17,3,11,0,0,1,1.75,Brickell,Coral Gables,sunny,0,0.51,1.6,40,26,29.27,0.63
TR00039,2023-07-28 15:30:00,15,4,7,0,0,0,9.3,Coral Gables,Midtown,sunny,0,0.47,1.0,37,120,36.03,3.16
TR00040,2023-01-31 05:24:00,5,1,1,0,1,0,11.86,Midtown,Coconut Grove,stormy,3,0.44,1.6,35,105,52.68,2.92
TR00041,2023-08-21 09:27:00,9,0,8,0,0,1,1.71,Aventura,Downtown,stormy,3,0.84,1.0,67,24,29.4,0.35
TR00042,2023-04-08 09:13:00,9,5,4,1,0,1,2.86,Doral,Aventura,sunny,0,0.81,1.0,64,12,26.36,0.18
TR00043,2023-06-10 01:03:00,1,5,6,1,1,0,5.85,Doral,Downtown,sunny,0,0.84,1.0,67,69,40.95,1.01
TR00044,2023-09-29 05:03:00,5,4,9,0,1,0,6.91,Brickell,Wynwood,sunny,0,0.89,1.0,71,13,22.54,0.18
TR00045,2023-11-01 02:43:00,2,2,11,0,1,0,5.26,Doral,Coral Gables,cloudy,1,0.69,1.0,55,79,36.29,1.41
TR00046,2023-11-01 01:39:00,1,2,11,0,1,0,2.09,Doral,Doral,cloudy,1,0.8,1.6,64,71,35.05,1.09
TR00047,2023-06-11 08:13:00,8,6,6,1,0,1,6.4,Little Havana,Coral Gables,sunny,0,0.52,1.0,41,38,33.33,0.9
TR00048,2023-07-22 04:42:00,4,5,7,1,1,0,3.24,Coconut Grove,Downtown,sunny,0,0.84,1.0,67,45,17.75,0.66
TR00049,2023-02-07 00:29:00,0,1,2,0,1,0,2.51,Doral,Brickell,cloudy,1,0.76,1.0,60,14,28.83,0.23
TR00050,2023-10-03 06:32:00,6,1,10,0,0,0,4.15,Brickell,Coral Gables,sunny,0,0.71,1.0,56,52,24.7,0.91
TR00051,2023-05-26 05:28:00,5,4,5,0,1,0,4.83,Coconut Grove,Doral,rainy,2,0.43,1.0,34,108,24.32,3.09
TR00052,2023-12-01 16:00:00,16,4,12,0,0,0,2.37,Brickell,Wynwood,rainy,2,0.83,1.0,66,38,24.04,0.57
TR00053,2023-03-01 03:47:00,3,2,3,0,1,0,25.56,Doral,Coral Gables,cloudy,1,0.94,1.0,75,96,44.71,1.26
TR00054,2023-06-25 06:43:00,6,6,6,1,0,0,10.43,Coconut Grove,Aventura,cloudy,1,0.7,1.0,56,67,35.13,1.18
TR00055,2023-05-09 01:05:00,1,1,5,0,1,0,6.16,Coconut Grove,South Beach,rainy,2,0.56,1.0,44,5,47.79,0.11
TR00056,2023-06-20 04:40:00,4,1,6,0,1,0,2.2,Coconut Grove,Wynwood,cloudy,1,0.65,1.0,52,99,14.54,1.87
TR00057,2023-08-15 17:45:00,17,1,8,0,0,1,14.9,Midtown,Aventura,rainy,2,0.7,1.0,56,6,57.63,0.11
TR00058,2023-02-27 02:56:00,2,0,2,0,1,0,13.51,Wynwood,Aventura,cloudy,1,0.82,1.0,65,9,53.69,0.14
TR00059,2023-07-09 18:35:00,18,6,7,1,0,1,1.96,Wynwood,Midtown,sunny,0,0.51,1.0,40,21,25.87,0.51
TR00060,2023-01-22 09:23:00,9,6,1,1,0,1,27.7,South Beach,Little Havana,sunny,0,0.84,1.0,67,31,79.15,0.46
TR00061,2023-12-16 07:42:00,7,5,12,1,0,1,2.11,Aventura,Midtown,cloudy,1,0.41,2.5,32,84,40.27,2.55
TR00062,2023-03-21 07:55:00,7,1,3,0,0,1,6.35,Wynwood,Midtown,cloudy,1,0.78,1.0,62,8,30.73,0.13
TR00063,2023-04-02 23:59:00,23,6,4,1,1,0,4.1,Midtown,Coral Gables,sunny,0,0.48,1.0,38,39,35.76,1.0
TR00064,2023-03-23 22:06:00,22,3,3,0,1,0,30.82,Downtown,Coral Gables,stormy,3,0.5,1.6,40,30,175.55,0.73
TR00065,2023-08-24 11:19:00,11,3,8,0,0,0,20.85,Coral Gables,Coral Gables,rainy,2,0.67,1.0,53,8,64.99,0.15
TR00066,2023-12-04 06:25:00,6,0,12,0,0,0,23.09,Coconut Grove,Little Havana,rainy,2,0.87,1.0,69,87,58.55,1.24
TR00067,2023-09-18 12:43:00,12,0,9,0,0,0,29.53,Aventura,Little Havana,rainy,2,0.99,1.0,79,8,69.23,0.1
TR00068,2023-03-01 08:11:00,8,2,3,0,0,1,1.96,South Beach,Brickell,rainy,2,0.73,1.0,58,81,26.5,1.37
TR00069,2023-08-11 11:46:00,11,4,8,0,0,0,6.29,Little Havana,Midtown,sunny,0,0.93,1.0,74,82,24.38,1.09
TR00070,2023-09-19 03:24:00,3,1,9,0,1,0,9.2,Coral Gables,Coconut Grove,sunny,0,0.86,1.0,68,10,27.59,0.14
TR00071,2023-12-29 13:00:00,13,4,12,0,0,0,7.92,Coral Gables,Little Havana,cloudy,1,0.88,1.0,70,60,28.52,0.85
TR00072,2023-02-05 21:58:00,21,6,2,1,0,0,12.76,Little Havana,Brickell,cloudy,1,0.51,1.0,40,97,41.98,2.37
TR00073,2023-06-03 16:19:00,16,5,6,1,0,0,5.48,Midtown,Little Havana,sunny,0,0.48,1.0,38,56,25.45,1.44
TR00074,2023-12-23 09:35:00,9,5,12,1,0,1,5.54,Midtown,Midtown,cloudy,1,0.54,2.5,43,91,48.28,2.07
TR00075,2023-03-31 19:36:00,19,4,3,0,0,1,9.53,South Beach,Coconut Grove,sunny,0,0.88,1.0,70,41,38.26,0.58
TR00076,2023-04-18 13:50:00,13,1,4,0,0,0,19.67,Little Havana,Downtown,sunny,0,0.54,1.0,43,61,47.98,1.39
TR00077,2023-08-15 21:13:00,21,1,8,0,0,0,3.06,Aventura,Downtown,sunny,0,0.88,1.0,70,106,18.96,1.49
TR00078,2023-03-28 21:05:00,21,1,3,0,0,0,7.1,Doral,Little Havana,cloudy,1,0.63,1.0,50,16,26.82,0.31
TR00079,2023-05-01 21:19:00,21,0,5,0,0,0,14.63,Coral Gables,Wynwood,cloudy,1,0.8,1.0,64,8,39.53,0.12
TR00080,2023-01-24 07:30:00,7,1,1,0,0,1,9.2,Brickell,Downtown,sunny,0,0.87,1.0,69,58,36.23,0.83
TR00081,2023-11-19 18:12:00,18,6,11,1,0,1,7.23,Midtown,Coral Gables,sunny,0,0.54,1.0,43,23,34.11,0.52
TR00082,2023-12-02 22:00:00,22,5,12,1,1,0,4.01,Midtown,Coral Gables,sunny,0,0.85,1.0,68,27,35.95,0.39
TR00083,2023-12-23 16:29:00,16,5,12,1,0,0,13.95,Coral Gables,Brickell,sunny,0,0.49,2.5,39,63,75.86,1.58
TR00084,2023-03-10 14:42:00,14,4,3,0,0,0,6.02,Little Havana,Downtown,sunny,0,0.87,1.0,69,83,22.38,1.19
TR00085,2023-09-16 13:53:00,13,5,9,1,0,0,2.36,Downtown,Wynwood,sunny,0,0.83,1.0,66,100,19.7,1.49
TR00086,2023-09-01 14:16:00,14,4,9,0,0,0,3.02,Coconut Grove,Aventura,rainy,2,0.86,1.0,68,67,22.78,0.97
TR00087,2023-11-17 07:17:00,7,4,11,0,0,1,29.41,Coral Gables,Coconut Grove,rainy,2,0.77,1.0,61,47,91.06,0.76
TR00088,2023-06-13 17:05:00,17,1,6,0,0,1,22.7,Wynwood,Wynwood,cloudy,1,0.44,1.0,35,34,64.97,0.94
TR00089,2023-07-16 22:09:00,22,6,7,1,1,0,7.17,Coral Gables,Brickell,sunny,0,0.83,1.0,66,58,46.79,0.87
TR00090,2023-07-28 10:34:00,10,4,7,0,0,0,2.84,Downtown,Midtown,sunny,0,0.66,1.0,52,12,20.82,0.23
TR00091,2023-04-16 13:24:00,13,6,4,1,0,0,3.85,Doral,South Beach,cloudy,1,0.8,1.0,64,114,25.27,1.75
TR00092,2023-10-22 12:30:00,12,6,10,1,0,0,4.93,Little Havana,Coconut Grove,rainy,2,0.85,1.6,68,101,36.42,1.46
TR00093,2023-07-19 13:34:00,13,2,7,0,0,0,8.34,Aventura,Doral,rainy,2,0.81,1.0,64,119,33.91,1.83
TR00094,2023-04-23 15:14:00,15,6,4,1,0,0,2.94,Downtown,South Beach,rainy,2,0.47,1.0,37,54,28.72,1.42
TR00095,2023-06-22 21:43:00,21,3,6,0,0,0,6.13,Midtown,Wynwood,sunny,0,0.53,1.0,42,112,25.08,2.6
TR00096,2023-08-28 04:39:00,4,0,8,0,1,0,3.61,Aventura,South Beach,rainy,2,0.98,1.0,78,55,18.42,0.7
TR00097,2023-10-31 18:42:00,18,1,10,0,0,1,2.7,Midtown,Wynwood,cloudy,1,0.7,1.6,56,115,28.95,2.02
TR00098,2023-08-25 05:03:00,5,4,8,0,1,0,2.82,Coconut Grove,Midtown,sunny,0,0.89,1.0,71,46,16.4,0.64
TR00099,2023-04-19 14:20:00,14,2,4,0,0,0,4.85,Midtown,Coconut Grove,rainy,2,0.58,1.0,46,101,27.77,2.15
TR00100,2023-08-04 08:53:00,8,4,8,0,0,1,3.58,Brickell,Downtown,cloudy,1,0.62,1.0,49,7,25.57,0.14
TR00101,2023-10-04 01:22:00,1,2,10,0,1,0,3.1,South Beach,South Beach,rainy,2,0.76,1.5,60,36,43.79,0.59
TR00102,2023-04-13 00:39:00,0,3,4,0,1,0,2.83,Wynwood,Downtown,cloudy,1,0.87,1.0,69,90,28.37,1.29
TR00103,2023-02-28 18:13:00,18,1,2,0,0,1,11.04,Coconut Grove,Little Havana,rainy,2,0.76,1.0,60,26,45.51,0.43
TR00104,2023-11-07 19:47:00,19,1,11,0,0,1,5.91,Wynwood,Coconut Grove,cloudy,1,0.65,1.0,52,18,29.89,0.34
TR00105,2023-10-24 00:59:00,0,1,10,0,1,0,8.66,Midtown,Midtown,sunny,0,0.68,1.0,54,96,43.14,1.75
TR00106,2023-04-12 02:37:00,2,2,4,0,1,0,4.75,Coral Gables,Brickell,sunny,0,0.79,1.0,63,94,35.68,1.47
TR00107,2023-06-04 21:38:00,21,6,6,1,0,0,3.54,Brickell,Doral,sunny,0,0.85,1.0,68,105,22.48,1.52
TR00108,2023-01-22 11:34:00,11,6,1,1,0,0,21.21,Little Havana,Brickell,sunny,0,0.73,1.0,58,69,53.53,1.17
TR00109,2023-11-28 10:00:00,10,1,11,0,0,0,2.21,Brickell,Midtown,stormy,3,0.74,1.0,59,51,28.03,0.85
TR00110,2023-11-22 14:45:00,14,2,11,0,0,0,3.38,Aventura,Coconut Grove,rainy,2,0.77,1.0,61,83,23.49,1.34
TR00111,2023-10-03 15:29:00,15,1,10,0,0,0,13.45,Coconut Grove,Little Havana,sunny,0,0.97,1.0,77,114,33.19,1.46
TR00112,2023-05-06 02:17:00,2,5,5,1,1,0,2.85,Coral Gables,Downtown,sunny,0,0.72,1.0,57,77,35.78,1.33
TR00113,2023-11-09 21:24:00,21,3,11,0,0,0,1.72,Little Havana,Wynwood,sunny,0,0.82,1.0,65,67,17.2,1.02
TR00114,2023-04-19 11:51:00,11,2,4,0,0,0,9.96,Coconut Grove,Doral,sunny,0,0.77,1.0,61,94,30.24,1.52
TR00115,2023-05-22 17:00:00,17,0,5,0,0,1,10.32,Coral Gables,Brickell,sunny,0,0.96,1.0,76,35,40.35,0.45
TR00116,2023-07-28 15:35:00,15,4,7,0,0,0,15.11,Coral Gables,Downtown,sunny,0,0.88,1.0,70,87,39.51,1.23
TR00117,2023-12-31 15:28:00,15,6,12,1,0,0,7.92,Coral Gables,Midtown,sunny,0,0.75,1.6,60,93,40.48,1.52
TR00118,2023-05-05 09:42:00,9,4,5,0,0,1,5.93,Downtown,Aventura,sunny,0,0.95,1.0,76,72,26.83,0.94
TR00119,2023-06-26 13:47:00,13,0,6,0,0,0,34.78,Aventura,Little Havana,sunny,0,0.93,1.0,74,50,67.88,0.67
TR00120,2023-12-26 14:17:00,14,1,12,0,0,0,9.93,Little Havana,Brickell,rainy,2,0.61,1.0,48,100,36.21,2.04
TR00121,2023-10-02 22:11:00,22,0,10,0,1,0,7.35,Coconut Grove,Doral,sunny,0,0.66,1.0,52,102,40.93,1.92
TR00122,2023-09-26 19:18:00,19,1,9,0,0,1,3.75,Coral Gables,Coconut Grove,sunny,0,0.86,1.0,68,34,25.37,0.49
TR00123,2023-07-04 05:19:00,5,1,7,0,1,0,10.22,South Beach,Aventura,rainy,2,0.83,1.0,66,21,32.16,0.31
TR00124,2023-05-21 01:03:00,1,6,5,1,1,0,6.99,Wynwood,Downtown,cloudy,1,0.89,1.0,71,18,41.48,0.25
TR00125,2023-01-07 18:18:00,18,5,1,1,0,1,10.83,Downtown,Little Havana,sunny,0,0.8,1.0,64,28,42.45,0.43
TR00126,2023-01-27 08:55:00,8,4,1,0,0,1,4.04,Brickell,Midtown,cloudy,1,0.7,1.0,56,67,26.71,1.18
TR00127,2023-02-07 18:40:00,18,1,2,0,0,1,3.14,Wynwood,Wynwood,sunny,0,0.67,1.0,53,108,24.92,2.0
TR00128,2023-10-16 09:05:00,9,0,10,0,0,1,10.93,Midtown,Doral,rainy,2,0.66,1.5,52,81,54.82,1.53
TR00129,2023-11-13 07:49:00,7,0,11,0,0,1,8.21,Downtown,Coconut Grove,rainy,2,0.8,1.0,64,115,39.26,1.77
TR00130,2023-10-29 13:19:00,13,6,10,1,0,0,16.39,Brickell,Coral Gables,sunny,0,0.71,1.5,56,85,58.53,1.49
TR00131,2023-04-19 08:42:00,8,2,4,0,0,1,2.53,Coral Gables,Wynwood,sunny,0,0.41,1.6,32,75,31.86,2.27
TR00132,2023-02-08 05:00:00,5,2,2,0,1,0,14.01,Doral,Downtown,sunny,0,0.44,1.0,35,42,34.82,1.17
TR00133,2023-01-17 07:18:00,7,1,1,0,0,1,1.7,Downtown,Brickell,rainy,2,0.79,1.0,63,92,25.26,1.44
TR00134,2023-04-30 08:50:00,8,6,4,1,0,1,5.61,Doral,Coral Gables,sunny,0,0.74,1.0,59,59,31.65,0.98
TR00135,2023-02-28 17:14:00,17,1,2,0,0,1,12.2,Coconut Grove,Wynwood,sunny,0,0.83,1.0,66,14,38.47,0.21
TR00136,2023-01-31 05:50:00,5,1,1,0,1,0,10.61,Doral,Coconut Grove,sunny,0,0.43,1.0,34,61,28.84,1.74
TR00137,2023-03-05 14:44:00,14,6,3,1,0,0,6.54,Coconut Grove,Aventura,cloudy,1,0.62,1.0,49,74,28.16,1.48
TR00138,2023-09-10 14:05:00,14,6,9,1,0,0,3.15,Midtown,Little Havana,cloudy,1,0.45,1.0,36,82,22.86,2.22
TR00139,2023-05-09 00:05:00,0,1,5,0,1,0,2.84,Doral,Doral,rainy,2,0.78,1.0,62,7,33.84,0.11
TR00140,2023-12-11 08:36:00,8,0,12,0,0,1,18.29,Wynwood,Downtown,sunny,0,0.71,2.5,56,71,82.1,1.25
TR00141,2023-11-30 14:58:00,14,3,11,0,0,0,7.9,Midtown,Downtown,sunny,0,0.78,1.0,62,16,26.43,0.25
TR00142,2023-08-29 11:26:00,11,1,8,0,0,0,3.49,Little Havana,Little Havana,cloudy,1,0.74,1.0,59,90,21.67,1.5
TR00143,2023-02-23 05:21:00,5,3,2,0,1,0,8.68,Downtown,Coconut Grove,rainy,2,0.93,1.0,74,89,28.28,1.19
TR00144,2023-07-25 17:02:00,17,1,7,0,0,1,10.09,Downtown,Brickell,rainy,2,0.64,1.0,51,45,46.24,0.87
TR00145,2023-05-10 10:07:00,10,2,5,0,0,0,10.62,Midtown,Aventura,cloudy,1,0.59,1.0,47,110,32.63,2.29
TR00146,2023-01-01 21:55:00,21,6,1,1,0,0,12.39,Midtown,South Beach,sunny,0,0.64,1.0,51,29,40.35,0.56
TR00147,2023-09-23 11:39:00,11,5,9,1,0,0,4.21,Downtown,South Beach,cloudy,1,0.73,1.0,58,31,25.35,0.53
TR00148,2023-05-17 17:08:00,17,2,5,0,0,1,2.41,Downtown,Downtown,cloudy,1,0.77,1.0,61,20,22.63,0.32
TR00149,2023-01-15 20:38:00,20,6,1,1,0,0,23.01,Wynwood,Coconut Grove,sunny,0,0.69,1.0,55,75,57.14,1.34
TR00150,2023-01-08 17:26:00,17,6,1,1,0,1,8.48,Brickell,Downtown,sunny,0,0.83,1.6,66,20,49.62,0.3
TR00151,2023-11-28 04:31:00,4,1,11,0,1,0,1.7,Coconut Grove,Midtown,sunny,0,0.96,1.0,76,111,12.51,1.44
TR00152,2023-09-05 15:15:00,15,1,9,0,0,0,48.31,Wynwood,Midtown,sunny,0,0.63,1.0,50,29,93.96,0.57
TR00153,2023-11-03 16:47:00,16,4,11,0,0,0,3.5,Coconut Grove,Midtown,sunny,0,0.65,1.0,52,48,20.71,0.91
TR00154,2023-09-17 08:52:00,8,6,9,1,0,1,24.5,Coconut Grove,Doral,sunny,0,0.74,1.5,59,79,81.8,1.32
TR00155,2023-12-04 15:55:00,15,0,12,0,0,0,3.42,Aventura,Downtown,sunny,0,0.63,2.5,50,49,33.1,0.96
TR00156,2023-06-20 17:48:00,17,1,6,0,0,1,29.08,Aventura,Midtown,sunny,0,0.7,1.0,56,63,74.97,1.11
TR00157,2023-06-14 06:44:00,6,2,6,0,0,0,2.63,Coral Gables,Doral,sunny,0,0.68,1.0,54,54,21.42,0.98
TR00158,2023-04-30 13:02:00,13,6,4,1,0,0,2.5,Downtown,Midtown,sunny,0,0.39,1.0,31,54,22.63,1.69
TR00159,2023-12-06 20:09:00,20,2,12,0,0,0,4.01,Aventura,Doral,cloudy,1,0.71,1.6,56,47,26.59,0.82
TR00160,2023-02-21 14:06:00,14,1,2,0,0,0,5.49,Downtown,South Beach,sunny,0,0.41,1.0,32,97,24.55,2.94
TR00161,2023-03-15 13:55:00,13,2,3,0,0,0,3.72,Downtown,Coconut Grove,stormy,3,0.39,1.0,31,48,31.57,1.5
TR00162,2023-11-16 22:25:00,22,3,11,0,1,0,8.06,Aventura,Midtown,sunny,0,0.97,1.0,77,45,38.43,0.58
TR00163,2023-11-17 22:56:00,22,4,11,0,1,0,8.21,South Beach,Doral,cloudy,1,0.79,1.0,63,13,44.42,0.2
TR00164,2023-05-01 20:43:00,20,0,5,0,0,0,9.59,Coral Gables,Brickell,cloudy,1,0.83,1.0,66,60,32.85,0.9
TR00165,2023-02-20 20:45:00,20,0,2,0,0,0,4.82,Downtown,Wynwood,rainy,2,0.77,1.0,61,93,27.89,1.5
TR00166,2023-06-03 00:02:00,0,5,6,1,1,0,6.32,Little Havana,South Beach,cloudy,1,0.83,1.0,66,42,39.74,0.63
TR00167,2023-07-03 11:27:00,11,0,7,0,0,0,17.93,Wynwood,Coral Gables,sunny,0,0.85,1.0,68,72,41.9,1.04
TR00168,2023-07-30 18:43:00,18,6,7,1,0,1,10.1,Wynwood,Wynwood,sunny,0,0.81,1.0,64,27,40.34,0.42
TR00169,2023-02-10 19:55:00,19,4,2,0,0,1,3.28,Coral Gables,Downtown,cloudy,1,0.58,1.0,46,79,26.98,1.68
TR00170,2023-03-15 07:29:00,7,2,3,0,0,1,12.36,South Beach,Downtown,sunny,0,0.86,1.0,68,120,42.05,1.74
TR00171,2023-05-28 21:34:00,21,6,5,1,0,0,6.12,Downtown,Little Havana,cloudy,1,0.96,1.0,76,80,25.18,1.04
TR00172,2023-06-03 20:27:00,20,5,6,1,0,0,20.98,Coconut Grove,Downtown,sunny,0,0.68,1.0,54,113,54.51,2.05
TR00173,2023-06-04 06:24:00,6,6,6,1,0,0,3.08,Downtown,Brickell,sunny,0,0.71,1.0,56,35,21.68,0.61
TR00174,2023-07-15 18:22:00,18,5,7,1,0,1,3.77,Doral,Coconut Grove,rainy,2,0.84,1.0,67,94,31.26,1.38
TR00175,2023-06-01 00:53:00,0,3,6,0,1,0,3.89,Midtown,Coconut Grove,cloudy,1,0.89,1.0,71,6,29.01,0.08
TR00176,2023-10-17 21:49:00,21,1,10,0,0,0,2.11,Doral,Downtown,sunny,0,0.55,1.5,44,111,22.42,2.47
TR00177,2023-05-27 07:38:00,7,5,5,1,0,1,3.79,Coral Gables,Coral Gables,cloudy,1,0.56,1.0,44,84,30.7,1.87
TR00178,2023-05-09 21:48:00,21,1,5,0,0,0,6.65,Wynwood,Brickell,rainy,2,0.7,1.0,56,120,31.17,2.11
TR00179,2023-11-18 20:02:00,20,5,11,1,0,0,2.45,Doral,Little Havana,sunny,0,0.84,1.0,67,98,20.09,1.44
TR00180,2023-03-09 02:58:00,2,3,3,0,1,0,23.23,Wynwood,Coral Gables,sunny,0,0.47,1.0,37,21,83.32,0.55
TR00181,2023-10-04 11:33:00,11,2,10,0,0,0,7.3,Wynwood,Coconut Grove,sunny,0,0.57,1.0,45,110,26.69,2.39
TR00182,2023-09-04 09:47:00,9,0,9,0,0,1,10.45,Brickell,Downtown,stormy,3,0.86,1.0,68,14,55.32,0.2
TR00183,2023-03-14 07:55:00,7,1,3,0,0,1,3.06,Midtown,Aventura,cloudy,1,0.44,1.0,35,51,23.92,1.42
TR00184,2023-02-16 12:00:00,12,3,2,0,0,0,22.88,Brickell,Downtown,cloudy,1,0.65,1.0,52,52,55.61,0.98
TR00185,2023-12-11 23:43:00,23,0,12,0,1,0,9.93,Little Havana,Brickell,sunny,0,0.84,1.0,67,91,45.64,1.34
TR00186,2023-04-30 15:01:00,15,6,4,1,0,0,5.64,Aventura,Little Havana,sunny,0,0.68,1.0,54,83,27.38,1.51
TR00187,2023-04-24 20:04:00,20,0,4,0,0,0,6.08,Downtown,Coconut Grove,rainy,2,0.88,1.0,70,88,27.3,1.24
TR00188,2023-07-29 03:08:00,3,5,7,1,1,0,11.01,South Beach,South Beach,sunny,0,0.67,1.0,53,43,32.03,0.8
TR00189,2023-09-10 03:06:00,3,6,9,1,1,0,2.11,Aventura,Wynwood,cloudy,1,0.62,1.0,49,54,17.63,1.08
TR00190,2023-08-21 11:42:00,11,0,8,0,0,0,6.72,Aventura,Midtown,sunny,0,0.94,1.0,75,80,22.8,1.05
TR00191,2023-03-21 13:41:00,13,1,3,0,0,0,7.6,Downtown,Doral,cloudy,1,0.71,2.8,56,57,46.6,1.0
