distance_km,fare_usd,speed_kmh,duration_min,hour,is_night,driver_rating,customer_rating,trip_count_today,new_device,new_payment_method,location_jump_km,surge_multiplier,promo_applied,cancellations_today,fare_distance_ratio,is_fraud,fraud_type,trip_id
7.11,21.65,41.7,10.2,2,1,4.15,3.9,1,0,0,0.52,1.0,0,2,3.05,0,none,FR00020
3.91,20.73,36.0,6.5,17,0,4.56,3.76,7,0,0,0.77,1.0,0,0,5.3,0,none,FR00021
16.91,40.73,36.7,27.6,18,0,5.0,4.28,5,0,0,1.47,1.0,0,0,2.41,0,none,FR00022
3.4,18.68,44.6,4.6,9,0,4.37,4.26,6,0,0,0.05,1.2,0,0,5.49,0,none,FR00023
3.15,17.49,24.0,7.9,23,1,4.36,4.25,7,0,0,0.07,1.5,0,2,5.55,0,none,FR00024
5.3,19.01,33.5,9.5,2,1,4.35,3.9,5,0,0,0.52,1.2,0,0,3.59,0,none,FR00025
4.18,17.95,33.2,7.6,5,1,3.9,4.85,5,0,0,0.55,1.2,1,1,4.29,0,none,FR00026
13.89,36.6,38.3,21.8,8,0,4.03,4.95,8,0,0,0.0,1.0,0,0,2.63,0,none,FR00027
10.0,29.6,18.3,32.8,4,1,4.4,4.34,1,0,0,0.16,2.0,0,0,2.96,0,none,FR00028
4.28,26.12,37.0,6.9,20,0,4.53,4.46,3,0,0,1.45,1.5,0,0,6.1,0,none,FR00029
6.13,21.09,37.6,9.8,10,0,4.06,4.81,2,0,0,0.25,1.2,0,1,3.44,0,none,FR00030
3.17,18.28,36.8,5.2,15,0,4.36,4.86,6,0,0,0.16,1.2,0,2,5.77,0,none,FR00031
54.98,281.67,31.4,7.8,4,1,4.31,4.03,7,0,0,1.51,1.0,1,0,5.12,1,fare_manipulation,FR00032
15.12,28.02,32.2,28.2,10,0,4.82,3.64,38,0,1,0.0,1.0,1,20,1.85,1,promo_abuse,FR00033
6.73,26.8,23.4,17.3,12,0,5.0,4.7,2,0,0,1.18,1.0,0,0,3.98,0,none,FR00034
30.16,62.19,26.1,69.3,13,0,4.61,5.0,1,0,0,1.6,1.2,0,0,2.06,0,none,FR00035
3.85,15.54,27.5,8.4,4,1,4.42,3.95,3,0,0,1.13,1.2,0,2,4.04,0,none,FR00036
8.44,22.24,23.5,21.5,4,1,5.0,3.85,3,1,0,0.0,1.0,0,0,2.64,0,none,FR00037
0.55,15.39,211.5,1.9,20,0,4.56,4.85,1,0,0,0.45,1.0,0,2,27.98,1,fake_completion,FR00038
4.38,24.47,38.2,6.9,6,0,4.04,4.23,4,0,0,0.86,1.2,0,0,5.59,0,none,FR00039
12.91,33.97,26.0,29.8,18,0,4.77,4.63,3,0,0,0.68,1.5,1,0,2.63,0,none,FR00040
18.4,42.92,34.9,31.6,13,0,5.0,4.15,4,0,0,0.0,1.0,0,1,2.33,0,none,FR00041
9.14,33.0,43.5,12.6,14,0,4.52,4.75,8,0,0,1.35,1.2,0,2,3.61,0,none,FR00042
6.42,26.02,35.0,11.0,8,0,4.62,4.85,6,0,0,0.0,1.0,0,2,4.05,0,none,FR00043
9.81,33.07,29.1,20.2,14,0,4.82,4.39,4,1,0,1.12,1.0,0,1,3.37,0,none,FR00044
12.66,29.74,32.5,23.4,22,1,4.69,4.38,8,0,0,0.04,1.0,0,0,2.35,0,none,FR00045
9.97,28.58,36.1,16.6,11,0,4.53,4.74,6,0,0,1.28,2.0,1,2,2.87,0,none,FR00046
4.67,21.25,45.8,6.1,13,0,4.39,3.22,3,0,0,0.0,1.0,0,0,4.55,0,none,FR00047
5.18,21.01,37.1,8.4,11,0,4.63,4.66,3,0,0,0.0,1.5,0,0,4.06,0,none,FR00048
15.53,37.3,32.4,28.8,3,1,4.14,4.28,1,0,0,1.23,1.0,0,2,2.4,0,none,FR00049
18.8,43.08,48.7,23.2,22,1,4.45,4.4,3,0,0,0.23,1.0,0,2,2.29,0,none,FR00050
6.11,27.39,41.7,8.8,0,1,4.25,4.53,4,0,0,1.36,1.5,0,2,4.48,0,none,FR00051
4.89,16.84,42.9,6.8,3,1,4.4,5.0,1,0,0,1.52,1.5,0,2,3.44,0,none,FR00052
5.21,22.96,38.7,8.1,23,1,5.0,4.23,8,0,0,0.0,1.2,0,0,4.41,0,none,FR00053
7.21,25.95,30.3,14.3,11,0,4.05,4.14,3,0,0,0.47,1.0,0,1,3.6,0,none,FR00054
17.56,33.45,34.7,30.4,23,1,4.13,4.91,2,0,1,1.52,1.0,0,0,1.9,0,none,FR00055
6.93,27.61,34.8,11.9,21,0,4.76,3.84,3,0,0,0.32,1.0,0,1,3.98,0,none,FR00056
14.29,39.3,32.9,26.1,21,0,4.54,3.99,3,0,0,0.0,1.2,0,1,2.75,0,none,FR00057
3.18,16.99,33.2,5.7,22,1,4.97,3.98,5,0,0,0.0,1.5,0,2,5.34,0,none,FR00058
10.02,30.24,40.2,15.0,0,1,4.49,4.9,6,0,0,0.04,1.0,0,2,3.02,0,none,FR00059
19.16,42.16,44.5,25.8,2,1,4.47,3.93,2,1,1,0.0,1.5,0,2,2.2,0,none,FR00060
3.27,16.13,37.6,5.2,9,0,4.8,3.85,3,0,0,0.0,1.5,1,2,4.93,0,none,FR00061
13.29,34.96,48.8,16.3,1,1,4.41,4.07,2,0,0,0.31,1.0,0,1,2.63,0,none,FR00062
2.18,18.54,30.1,4.3,21,0,4.53,3.57,3,0,0,1.11,1.0,0,2,8.5,0,none,FR00063
9.94,25.26,40.9,14.6,6,0,4.21,4.1,3,0,0,0.0,1.2,0,2,2.54,0,none,FR00064
26.17,54.44,40.6,38.7,9,0,4.72,4.36,1,0,0,0.39,2.0,0,1,2.08,0,none,FR00065
10.0,29.12,40.0,15.0,20,0,4.7,4.71,6,0,0,0.0,2.0,0,0,2.91,0,none,FR00066
13.41,30.21,34.0,23.7,20,0,5.0,4.31,7,0,0,1.09,1.0,0,2,2.25,0,none,FR00067
3.08,20.86,34.6,5.3,1,1,4.86,3.81,2,0,0,1.74,1.5,0,0,6.77,0,none,FR00068
10.11,28.11,37.1,16.4,9,0,4.63,4.04,3,0,0,1.82,1.0,0,1,2.78,0,none,FR00069
2.28,18.07,34.2,4.0,15,0,4.45,4.6,4,0,0,0.56,1.5,1,2,7.93,0,none,FR00070
6.47,26.86,28.3,13.7,16,0,4.03,4.41,7,0,0,0.31,1.0,0,2,4.15,0,none,FR00071
16.15,39.01,44.6,21.7,22,1,3.92,3.9,6,0,0,0.78,1.0,0,2,2.42,0,none,FR00072
12.21,33.86,40.7,18.0,4,1,4.63,4.16,6,0,0,1.06,1.2,0,1,2.77,0,none,FR00073
27.56,55.75,32.5,50.9,8,0,4.02,4.41,3,0,0,0.41,1.0,0,2,2.02,0,none,FR00074
7.7,26.97,38.3,12.1,7,0,4.09,3.62,5,0,0,0.05,1.2,0,0,3.5,0,none,FR00075
9.39,29.75,41.1,13.7,3,1,4.31,3.16,1,1,0,0.6,1.2,0,0,3.17,0,none,FR00076
22.01,49.11,37.3,35.4,9,0,4.49,4.68,5,0,0,0.0,1.0,0,1,2.23,0,none,FR00077
1.59,15.35,34.9,2.7,14,0,3.84,4.21,6,0,0,0.12,1.0,0,1,9.65,0,none,FR00078
26.37,57.33,34.9,45.3,1,1,4.22,4.45,7,0,0,0.05,1.0,0,0,2.17,0,none,FR00079
5.81,23.86,27.6,12.6,19,0,4.8,4.46,8,0,0,0.18,1.2,1,1,4.11,0,none,FR00080
10.1,29.66,33.1,18.3,4,1,5.0,4.59,3,0,0,0.58,1.5,0,2,2.94,0,none,FR00081
17.86,39.27,18.0,59.5,14,0,4.3,4.69,1,0,0,0.0,1.0,0,0,2.2,0,none,FR00082
26.0,51.86,34.4,45.3,16,0,4.52,5.0,6,0,0,1.92,1.2,0,0,1.99,0,none,FR00083
3.52,19.21,40.7,5.2,21,0,4.94,4.29,1,0,0,1.12,1.5,0,0,5.46,0,none,FR00084
14.07,31.99,37.4,22.6,9,0,4.56,4.42,5,0,0,0.36,1.2,0,2,2.27,0,none,FR00085
6.08,22.96,28.8,12.7,4,1,4.77,5.0,8,0,0,1.02,1.5,1,0,3.78,0,none,FR00086
9.37,29.14,31.8,17.7,5,1,4.31,4.63,2,0,0,0.38,1.2,0,1,3.11,0,none,FR00087
28.18,56.14,23.7,71.3,4,1,4.71,4.61,8,0,0,0.67,1.0,0,1,1.99,0,none,FR00088
5.45,18.82,46.7,7.0,20,0,4.17,4.32,6,0,0,0.38,1.0,0,1,3.45,0,none,FR00089
8.41,26.57,16.8,30.0,3,1,4.47,4.31,4,0,0,0.96,1.0,0,2,3.16,0,none,FR00090
30.64,54.76,37.7,48.8,16,0,4.19,4.77,2,0,0,0.31,1.0,0,0,1.79,0,none,FR00091
29.4,59.06,41.5,42.5,14,0,4.13,4.84,2,0,0,0.0,1.0,0,1,2.01,0,none,FR00092
11.37,33.73,37.0,18.4,13,0,4.41,4.62,1,0,1,0.6,1.0,0,0,2.97,0,none,FR00093
4.44,20.6,41.7,6.4,16,0,4.57,4.54,5,0,0,1.53,1.2,0,2,4.64,0,none,FR00094
12.1,30.31,18.1,40.1,2,1,4.37,5.0,8,0,0,1.81,1.0,0,1,2.5,0,none,FR00095
2.84,18.18,29.5,5.8,18,0,4.49,4.34,4,0,1,0.35,1.0,0,0,6.4,0,none,FR00096
5.38,16.88,32.7,9.9,20,0,4.44,4.36,4,0,0,0.0,1.2,0,0,3.14,0,none,FR00097
15.61,39.01,29.7,31.5,6,0,4.8,3.94,2,0,1,0.0,1.0,0,2,2.5,0,none,FR00098
4.22,19.41,25.9,9.8,14,0,4.58,5.0,7,0,0,0.0,1.0,0,1,4.6,0,none,FR00099
5.96,20.38,38.5,9.3,22,1,4.54,4.3,3,1,0,1.44,1.2,0,0,3.42,0,none,FR00100
4.23,15.77,40.3,6.3,13,0,3.75,4.55,3,0,0,0.0,1.0,0,2,3.73,0,none,FR00101
8.41,28.63,24.9,20.3,10,0,4.46,4.42,6,0,0,0.33,1.5,0,2,3.4,0,none,FR00102
5.5,23.33,43.0,7.7,14,0,4.38,4.59,2,0,0,0.71,2.0,0,2,4.24,0,none,FR00103
10.17,28.58,25.9,23.6,23,1,4.6,4.25,6,0,0,0.09,1.5,0,2,2.81,0,none,FR00104
34.64,69.41,46.5,44.7,7,0,4.14,4.3,3,0,0,0.53,1.0,0,2,2.0,0,none,FR00105
24.57,55.99,40.7,36.2,10,0,3.92,3.86,6,0,0,0.18,1.5,0,2,2.28,0,none,FR00106
6.86,22.75,47.1,8.7,9,0,4.03,4.55,7,0,0,0.69,1.5,0,1,3.32,0,none,FR00107
2.35,18.78,25.6,5.5,1,1,4.49,4.41,3,0,0,1.68,1.0,0,1,7.99,0,none,FR00108
5.77,27.79,29.8,11.6,13,0,4.92,4.29,2,0,0,0.0,1.2,0,0,4.82,0,none,FR00109
15.14,36.33,24.3,37.4,12,0,4.4,4.58,4,0,0,0.0,1.0,0,1,2.4,0,none,FR00110
10.15,28.58,18.8,32.4,15,0,4.09,5.0,6,0,0,1.89,1.0,1,0,2.82,0,none,FR00111
3.71,20.22,37.8,5.9,8,0,4.79,4.16,7,0,0,0.0,1.2,0,0,5.45,0,none,FR00112
15.98,36.87,32.8,29.2,1,1,4.44,4.48,3,0,0,0.81,1.0,0,2,2.31,0,none,FR00113
4.87,22.07,11.6,25.2,3,1,5.0,4.07,2,0,0,1.27,1.0,0,0,4.53,0,none,FR00114
1.86,9.38,39.6,2.8,7,0,4.2,4.44,5,0,0,0.0,1.0,0,0,5.04,0,none,FR00115
9.11,29.67,28.0,19.5,14,0,4.48,4.4,6,0,0,0.56,1.2,0,2,3.26,0,none,FR00116
5.88,21.06,34.4,10.3,1,1,4.89,4.12,2,0,0,1.63,1.0,0,0,3.58,0,none,FR00117
3.3,16.82,30.9,6.4,16,0,4.85,4.09,3,0,0,0.0,1.5,0,1,5.1,0,none,FR00118
9.87,27.62,44.1,13.4,18,0,4.21,4.0,3,0,0,0.0,1.0,0,0,2.8,0,none,FR00119
5.8,23.4,46.6,7.5,8,0,4.3,4.43,4,0,0,0.0,2.0,0,0,4.03,0,none,FR00120
21.42,48.69,38.1,33.7,1,1,4.25,3.95,2,0,0,0.0,1.0,0,0,2.27,0,none,FR00121
0.97,59.8,297.8,0.7,5,1,4.63,4.58,6,0,0,0.36,1.0,0,1,61.65,1,fake_completion,FR00122
7.49,27.97,26.6,16.9,21,0,4.44,4.35,5,0,0,1.29,1.0,1,1,3.73,0,none,FR00123
12.19,31.63,37.7,19.4,8,0,4.1,4.33,1,0,0,0.82,1.0,0,0,2.59,0,none,FR00124
39.04,75.05,35.8,65.4,12,0,4.09,3.98,1,0,1,1.23,1.0,0,0,1.92,0,none,FR00125
2.72,14.85,45.1,3.6,14,0,4.71,4.66,2,0,0,1.36,1.2,0,1,5.46,0,none,FR00126
10.62,33.43,40.0,15.9,17,0,4.16,3.74,1,0,0,1.49,1.2,0,0,3.15,0,none,FR00127
1.68,15.59,37.1,2.7,6,0,4.49,4.86,6,0,0,1.1,1.0,0,1,9.28,0,none,FR00128
12.74,33.87,47.8,16.0,5,1,4.18,4.15,3,0,0,0.07,1.0,0,0,2.66,0,none,FR00129
6.87,28.91,24.1,17.1,3,1,4.31,4.08,5,0,0,0.74,1.2,1,1,4.21,0,none,FR00130
7.49,27.86,34.4,13.1,17,0,4.24,4.21,7,0,0,0.9,1.0,0,0,3.72,0,none,FR00131
8.46,26.29,32.5,15.6,0,1,4.88,4.38,2,0,0,1.24,1.0,1,1,3.11,0,none,FR00132
29.94,62.55,32.8,54.8,1,1,4.21,5.0,1,0,0,0.64,1.2,1,1,2.09,0,none,FR00133
5.22,22.24,38.4,8.2,19,0,4.52,4.06,2,0,0,0.82,1.5,0,1,4.26,0,none,FR00134
12.91,31.77,43.3,17.9,18,0,4.66,4.61,3,0,0,1.12,1.0,0,0,2.46,0,none,FR00135
17.43,45.52,41.6,25.1,21,0,4.16,4.81,7,0,0,0.74,1.0,0,2,2.61,0,none,FR00136
10.48,28.53,39.5,15.9,7,0,4.79,4.81,5,0,0,0.77,1.5,0,1,2.72,0,none,FR00137
12.01,30.01,30.8,23.4,18,0,3.95,4.5,8,0,0,0.0,1.2,0,2,2.5,0,none,FR00138
10.31,27.78,36.9,16.8,21,0,4.27,5.0,7,0,0,0.0,1.0,0,1,2.69,0,none,FR00139
29.33,57.81,33.6,52.4,0,1,4.47,4.4,3,0,0,0.26,1.0,0,0,1.97,0,none,FR00140
8.87,23.71,38.5,13.8,16,0,4.7,4.82,3,0,0,0.93,1.2,0,1,2.67,0,none,FR00141
3.37,21.08,37.9,5.3,3,0,4.47,4.09,8,1,1,357.21,2.0,0,0,6.26,1,account_takeover,FR00142
6.38,20.83,8.9,43.0,9,0,4.14,4.24,3,0,0,0.56,2.0,0,1,3.26,0,none,FR00143
9.64,28.01,31.4,18.4,11,0,4.97,4.11,7,0,0,0.18,1.2,0,0,2.91,0,none,FR00144
17.21,38.82,44.4,23.3,0,1,4.36,4.02,3,0,0,0.0,1.0,0,2,2.26,0,none,FR00145
14.31,34.28,36.7,23.4,18,0,4.48,3.73,1,0,0,1.0,1.0,0,2,2.4,0,none,FR00146
12.36,30.88,28.6,25.9,18,0,4.46,4.72,5,0,0,0.38,2.0,0,0,2.5,0,none,FR00147
2.4,22.73,28.9,5.0,15,0,4.53,5.0,5,0,0,1.96,1.5,0,0,9.47,0,none,FR00148
9.83,29.41,40.6,14.5,3,1,4.27,4.39,5,0,0,0.0,1.0,0,2,2.99,0,none,FR00149
4.31,19.85,34.8,7.4,17,0,4.38,4.71,1,0,0,0.0,1.0,0,2,4.61,0,none,FR00150
22.53,49.57,32.1,42.1,7,0,4.34,4.59,7,0,0,0.0,1.0,0,2,2.2,0,none,FR00151
5.33,21.16,36.0,8.9,8,0,4.82,4.41,7,0,0,0.0,1.2,0,2,3.97,0,none,FR00152
0.4,25.6,296.7,1.9,1,1,5.0,4.19,7,0,0,1.12,1.2,0,2,64.0,1,fake_completion,FR00153
6.89,28.83,27.5,15.0,17,0,4.56,4.93,4,0,0,0.57,1.0,0,0,4.18,0,none,FR00154
4.48,24.26,27.8,9.7,9,0,4.75,4.52,2,0,0,0.0,1.2,0,1,5.42,0,none,FR00155
25.5,52.7,27.5,55.6,6,0,4.27,3.66,3,0,0,1.13,1.0,0,1,2.07,0,none,FR00156
10.7,32.5,46.8,13.7,5,1,4.95,4.01,2,0,0,1.74,1.5,0,0,3.04,0,none,FR00157
7.9,30.69,44.6,10.6,1,1,4.29,4.12,4,0,1,0.0,1.0,0,0,3.88,0,none,FR00158
4.47,19.87,34.8,7.7,20,0,4.45,4.12,8,0,0,2.48,1.0,0,1,4.45,0,none,FR00159
4.15,21.8,32.8,7.6,12,0,4.33,4.33,5,1,0,0.0,1.2,0,2,5.25,0,none,FR00160
3.48,16.56,35.9,5.8,21,0,4.03,3.74,5,0,0,0.0,1.0,1,1,4.76,0,none,FR00161
2.85,18.55,31.2,5.5,17,0,4.16,5.0,3,0,0,0.0,1.0,0,1,6.51,0,none,FR00162
6.67,21.1,44.5,9.0,18,0,4.34,3.64,6,0,1,0.0,1.0,0,1,3.16,0,none,FR00163
10.1,27.56,58.7,10.3,8,0,4.47,4.03,1,0,0,1.1,2.0,0,2,2.73,0,none,FR00164
5.99,22.8,43.9,8.2,23,1,4.72,3.81,3,0,0,0.4,1.2,0,2,3.81,0,none,FR00165
4.86,26.08,29.8,9.8,11,0,4.71,4.41,7,1,0,0.5,1.0,1,2,5.37,0,none,FR00166
5.02,17.11,26.7,11.3,11,0,4.17,4.56,3,0,1,0.78,1.0,0,0,3.41,0,none,FR00167
5.34,20.11,36.6,8.8,18,0,4.59,4.09,5,0,0,0.0,1.0,0,1,3.77,0,none,FR00168
2.74,12.64,46.1,3.6,19,0,4.28,4.37,4,0,0,1.17,1.2,0,0,4.61,0,none,FR00169
6.85,26.53,38.3,10.7,0,1,4.67,4.84,6,0,0,1.24,2.0,1,2,3.87,0,none,FR00170
20.6,46.03,44.1,28.0,15,0,4.53,4.42,5,0,1,0.0,1.0,0,2,2.23,0,none,FR00171
17.08,39.07,39.4,26.0,0,1,4.94,4.16,2,0,0,0.18,1.0,0,1,2.29,0,none,FR00172
15.96,39.02,40.5,23.6,10,0,4.75,4.28,3,0,1,0.0,1.0,0,2,2.44,0,none,FR00173
12.92,32.86,33.6,23.1,16,0,4.26,3.86,5,0,0,1.86,1.0,0,1,2.54,0,none,FR00174
11.57,29.14,37.3,18.6,15,0,4.35,3.36,3,0,0,1.4,1.2,0,2,2.52,0,none,FR00175
6.82,28.25,38.5,10.6,19,0,4.12,4.55,5,0,0,0.66,1.5,0,2,4.14,0,none,FR00176
2.15,18.01,42.0,3.1,1,1,4.42,4.36,1,0,0,0.0,1.5,0,0,8.38,0,none,FR00177
5.25,24.21,33.0,9.5,17,0,4.14,4.01,5,0,0,0.16,1.0,0,1,4.61,0,none,FR00178
10.57,35.57,26.6,23.8,17,0,4.71,4.14,4,0,0,1.37,1.0,0,1,3.37,0,none,FR00179
2.34,21.45,37.7,3.7,3,1,4.34,3.77,5,0,0,1.2,1.0,0,2,9.17,0,none,FR00180
5.99,28.62,28.9,12.4,7,0,4.3,4.42,2,0,0,0.34,1.2,0,2,4.78,0,none,FR00181
5.09,24.64,40.1,7.6,1,1,4.37,4.37,4,0,0,0.48,1.0,0,1,4.84,0,none,FR00182
9.76,27.55,34.4,17.0,21,0,4.65,4.09,2,0,0,0.43,1.0,0,1,2.82,0,none,FR00183
8.55,28.31,23.3,22.0,19,0,4.48,4.77,8,0,0,2.51,1.0,0,1,3.31,0,none,FR00184
7.17,23.84,33.7,12.8,13,0,4.48,3.57,2,0,0,0.0,1.0,0,1,3.32,0,none,FR00185
3.44,16.06,39.4,5.2,23,1,4.47,5.0,2,0,0,0.0,1.5,0,1,4.67,0,none,FR00186
20.83,50.75,27.7,45.1,22,1,4.28,4.87,7,0,0,1.7,1.0,0,0,2.44,0,none,FR00187
8.2,28.27,41.6,11.8,0,1,4.42,5.0,7,0,0,0.18,1.0,0,0,3.45,0,none,FR00188
4.09,25.03,27.6,8.9,19,0,4.44,4.19,4,0,0,0.0,1.0,0,2,6.12,0,none,FR00189
12.99,27.69,36.1,21.6,17,0,4.47,4.05,1,0,0,1.18,1.0,0,2,2.13,0,none,FR00190
24.95,49.47,37.3,40.1,6,0,4.66,3.98,3,0,0,1.87,1.0,0,2,1.98,0,none,FR00191
5.86,22.55,36.6,9.6,1,1,4.09,4.83,4,0,0,0.72,1.5,0,1,3.85,0,none,FR00192
6.64,24.25,39.4,10.1,21,0,4.64,4.49,7,0,0,0.0,1.0,0,2,3.65,0,none,FR00193
4.29,22.19,32.4,7.9,8,0,5.0,3.8,1,0,1,0.31,1.0,0,1,5.17,0,none,FR00194
11.19,33.69,42.5,15.8,22,1,4.63,4.56,5,0,0,0.7,2.0,0,2,3.01,0,none,FR00195
7.83,26.18,47.7,9.8,6,0,4.38,4.6,8,0,0,0.99,1.0,0,0,3.34,0,none,FR00196
4.66,18.94,28.8,9.7,18,0,4.27,4.76,7,0,0,0.77,1.2,0,2,4.06,0,none,FR00197
1.81,11.91,43.3,2.5,11,0,4.58,5.0,5,0,0,0.11,1.0,0,0,6.58,0,none,FR00198
6.28,26.31,32.6,11.6,2,1,4.29,4.58,4,0,0,0.06,1.2,0,0,4.19,0,none,FR00199
13.33,32.64,26.4,30.3,21,0,4.38,4.16,6,0,0,1.36,1.0,0,2,2.45,0,none,FR00200
18.57,46.49,35.7,31.2,11,0,5.0,5.0,2,0,0,0.0,1.0,0,1,2.5,0,none,FR00201
2.76,20.92,39.4,4.2,14,0,4.04,4.4,1,0,0,0.0,1.0,0,2,7.58,0,none,FR00202
12.07,36.24,13.7,52.9,17,0,4.78,4.63,2,0,0,0.93,1.5,0,1,3.0,0,none,FR00203
7.95,26.71,26.3,18.1,5,1,4.78,5.0,1,0,0,0.94,1.5,0,0,3.36,0,none,FR00204
3.21,15.22,33.6,5.7,11,0,5.0,4.68,5,0,0,0.05,1.2,0,1,4.74,0,none,FR00205
9.0,31.39,23.7,22.8,10,0,4.49,4.54,8,0,0,0.0,1.0,0,0,3.49,0,none,FR00206
21.52,49.25,29.7,43.5,4,1,4.7,4.37,1,1,0,0.55,1.2,0,2,2.29,0,none,FR00207
21.65,45.87,40.7,31.9,18,0,4.47,3.83,7,0,0,0.36,1.0,0,0,2.12,0,none,FR00208
4.58,26.76,29.3,9.4,19,0,4.55,4.64,1,0,0,1.08,1.2,0,0,5.84,0,none,FR00209
20.16,47.47,29.6,40.9,15,0,4.26,4.2,1,0,1,0.09,1.5,0,0,2.35,0,none,FR00210
13.45,33.75,47.1,17.1,8,0,4.62,4.49,1,0,0,0.0,1.0,0,2,2.51,0,none,FR00211
2.27,15.36,34.5,3.9,7,0,4.7,4.41,5,0,0,0.67,1.2,0,1,6.77,0,none,FR00212
1.61,16.74,38.9,2.5,0,1,4.44,4.54,5,0,0,0.37,1.0,0,2,10.4,0,none,FR00213
3.35,15.62,43.5,4.6,1,1,5.0,4.86,4,1,0,0.8,1.0,0,2,4.66,0,none,FR00214
8.43,26.13,35.7,14.2,14,0,4.66,4.45,2,0,1,0.83,2.0,0,2,3.1,0,none,FR00215
4.31,18.36,152.8,8.4,16,0,3.44,4.07,1,0,0,22.47,1.0,0,2,4.26,1,gps_spoofing,FR00216
1.75,17.7,27.9,3.8,18,0,4.4,5.0,8,0,0,0.6,1.0,0,0,10.11,0,none,FR00217
5.97,25.96,37.1,9.7,12,0,4.12,3.62,2,0,0,1.35,2.0,1,2,4.35,0,none,FR00218
4.88,21.04,33.6,8.7,22,1,4.62,4.52,6,0,0,0.34,1.0,0,0,4.31,0,none,FR00219
4.12,21.32,32.9,7.5,8,0,4.15,4.56,2,1,1,0.0,1.0,0,0,5.17,0,none,FR00220
13.71,32.17,36.4,22.6,10,0,4.62,4.21,2,0,0,0.0,1.5,0,2,2.35,0,none,FR00221
16.52,35.06,24.1,41.1,14,0,4.62,4.69,5,0,0,0.6,1.5,0,2,2.12,0,none,FR00222
4.32,17.76,38.0,6.8,3,1,4.37,4.47,1,1,0,1.24,1.2,0,1,4.11,0,none,FR00223
4.66,20.89,26.1,10.7,17,0,4.36,4.52,6,0,0,0.25,1.0,0,1,4.48,0,none,FR00224
8.1,26.04,46.2,10.5,12,0,4.34,4.25,1,0,1,1.19,1.2,0,2,3.21,0,none,FR00225
4.11,21.17,25.8,9.6,16,0,4.13,4.3,5,0,0,2.02,1.0,0,1,5.15,0,none,FR00226
4.9,18.38,33.0,8.9,4,1,4.35,4.36,4,0,0,0.0,1.0,1,1,3.75,0,none,FR00227
16.46,42.24,28.9,34.2,4,1,4.56,4.07,3,0,0,0.48,1.0,0,0,2.57,0,none,FR00228
7.62,24.89,30.8,14.8,11,0,5.0,4.59,8,0,0,0.48,1.0,0,1,3.27,0,none,FR00229
7.81,23.3,38.2,12.3,21,0,4.27,4.2,7,0,0,0.85,1.0,0,2,2.98,0,none,FR00230
17.44,41.17,22.6,46.3,7,0,4.19,4.83,6,0,0,0.28,1.2,0,0,2.36,0,none,FR00231
